gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YAL005C,5753.433622756881,0.22410522806363875,0.055464840570552086,4.040491701739837,5.33392524708509e-05,0.004480497207551475
YAR010C,6640.020879447281,0.1701279006273773,0.06252256153967842,2.7210641476902664,0.006507213280097076,0.18220197184271814
YAR009C,15838.378413304368,0.16733500618718072,0.06009794623435515,2.784371458130182,0.005363157427423732,0.18220197184271814
YAL068C,4.720589086329871,-0.5976391256008886,0.8701455344111408,-0.6868266306800423,0.4921919859611892,0.9806622162842804
YAL060W,55.79549943285394,0.0803075397380056,0.25397439420257784,0.31620329281679405,0.7518482085734797,0.9806622162842804
YAL059W,26.082446857469865,0.2206585781396538,0.3684789717313147,0.5988362839346836,0.5492820637941918,0.9806622162842804
YAL062W,5.490870529976774,0.7254363771303585,0.767815863977309,0.9448051429578134,0.3447583657519975,0.9806622162842804
YAL063C,5.163003524283732,0.18340148017336053,0.7935200331392814,0.2311239445938087,0.8172185135702337,0.9806622162842804
YAL055W,3.8268017584013427,0.47131677178075393,1.0184570943426023,0.4627752846917732,0.6435254486064972,0.9806622162842804
YAL054C,6.18396212286403,-0.5021640058267222,0.7416084757239522,-0.6771281913094558,0.4983246235895439,0.9806622162842804
YAL053W,121.37957376204554,-0.09035030181233038,0.1676302227201147,-0.5389857529640377,0.5898966851633721,0.9806622162842804
YAL051W,51.24300246978466,-0.2677312997558076,0.2624830556780743,-1.0199946014197963,0.3077310211042428,0.9806622162842804
YAL049C,40.974000204153754,-0.06646212857507788,0.2854501261549537,-0.23283271747093082,0.8158913061425401,0.9806622162842804
YAL046C,8.84939889177149,0.6950625002962745,0.6571768457847112,1.0576491012344256,0.2902154481965634,0.9806622162842804
YAL058W,22.436582131445558,-0.2008747353585154,0.37707775868861293,-0.5327143559384413,0.5942313269745284,0.9806622162842804
YAL061W,33.734434956637905,0.19985498333022225,0.5328987544707817,0.37503368445418295,0.7076354153410331,0.9806622162842804
YAL036C,68.60272188283311,-0.11222508652505636,0.2186085653512041,-0.5133608847611342,0.6076989017326548,0.9806622162842804
YAL035W,432.2877534675907,0.07910263106767308,0.10943716263016001,0.7228132488686528,0.46979462647846393,0.9806622162842804
YAL043C,61.38814583446911,-0.08728597890434674,0.2305123062188298,-0.37866082004960067,0.7049397515036567,0.9806622162842804
YAL042W,139.69897378169776,-0.10902221086817829,0.1638255678111152,-0.6654773874727347,0.5057452019422471,0.9806622162842804
YAL041W,68.0913345547622,0.2615056261572861,0.22039321981471421,1.1865411575598166,0.23540865785151355,0.9806622162842804
YAL040C,47.94753457263519,0.2528833448470299,0.2979839933656952,0.848647412200707,0.3960775163982134,0.9806622162842804
YAL039C,15.517443003071607,-0.6118612018311894,0.45917105773516576,-1.3325343388347664,0.18268466537183858,0.9806622162842804
YAL038W,6139.654974307759,-0.03315468352985057,0.049294215525555934,-0.6725877098634822,0.501209622737539,0.9806622162842804
YAL031C,33.98941197766698,-0.2744850845070072,0.3221955738575874,-0.8519207176580628,0.3942580971682892,0.9806622162842804
YAL034C,18.693258013405433,-0.14961387567076437,0.4334315606528045,-0.3451845441190908,0.7299556375029506,0.9806622162842804
YAL033W,13.471593125517808,0.17824685884099112,0.49653027104272884,0.35898487813576246,0.7196064018217134,0.9806622162842804
YAL025C,28.010306404848183,-0.17097166493625288,0.33750238937259314,-0.5065791245332636,0.6124501587366638,0.9806622162842804
YAL029C,170.98122706479967,0.04019194137933362,0.14270950770877075,0.28163464386236875,0.7782236730662635,0.9806622162842804
YAL028W,9.717497832050382,0.5507110730687016,0.6005461685009206,0.9170170454061559,0.35913370815130885,0.9806622162842804
YAL044C,70.28454743544337,-0.17446349220544116,0.23678941879165902,-0.7367875350838383,0.4612515645757028,0.9806622162842804
YAL056W,57.17714587468634,0.18434308146489456,0.23549755520957646,0.7827812959707459,0.43375555297816315,0.9806622162842804
YAL007C,82.473702634532,-0.3035215769127972,0.19815016366591948,-1.5317755549500003,0.12557783031730235,0.9806622162842804
YAL003W,895.4853615830821,-0.130735747870845,0.07623275989772114,-1.7149549359914114,0.0863534893585049,0.9806622162842804
snR18,3.750546142650126,-0.2780476368685752,0.9583359157272932,-0.29013588273748603,0.7717122853967687,0.9806622162842804
YAL002W,35.973522977206166,0.10202034221309299,0.29836323522733776,0.3419333556138665,0.7324010467895614,0.9806622162842804
