# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-s" "2" "-t" "exon" "-g" "gene_id" "-a" "/home/runner/work/bioinformatics-lab/bioinformatics-lab/datasets/raw/examples/rnaseq/genes.gtf" "-o" "/tmp/biolab-examples/rnaseq/SRR6357077/SRR6357077.counts.tsv" "/tmp/biolab-examples/rnaseq/SRR6357077/SRR6357077.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/biolab-examples/rnaseq/SRR6357077/SRR6357077.Aligned.sortedByCoord.out.bam
YAL069W	I	335	649	+	315	0
YAL068W-A	I	538	792	+	255	0
YAL068C	I	1807	2169	-	363	5
YAL067W-A	I	2480	2707	+	228	0
YAL067C	I	7235	9016	-	1782	0
YAL066W	I	10091	10399	+	309	0
YAL065C	I	11565	11951	-	387	0
YAL064W-B	I	12046	12426	+	381	2
YAL064C-A	I	13363	13743	-	381	0
YAL064W	I	21566	21850	+	285	0
YAL063C-A	I	22395	22685	-	291	1
YAL063C	I	24000	27968	-	3969	8
YAL062W	I	31567	32940	+	1374	10
YAL061W	I	33448	34701	+	1254	23
YAL060W	I	35155	36303	+	1149	57
YAL059C-A	I	36496	36918	-	423	0
YAL059W	I	36509	37147	+	639	32
YAL058W	I	37464	38972	+	1509	18
YAL056C-A	I	38696	39046	-	351	0
YAL056W	I	39259	41901	+	2643	57
YAL055W	I	42177	42719	+	543	1
YAL054C	I	42881	45022	-	2142	5
YAL053W	I	45899	48250	+	2352	115
YAL051W	I	48564	51707	+	3144	50
YAL049C	I	51855	52595	-	741	39
YAL048C	I	52801	54789	-	1989	20
YAL047W-A	I	54584	54913	+	330	0
YAL047C	I	54989	56857	-	1869	23
YAL046C	I	57029	57385	-	357	14
YAL045C	I	57488	57796	-	309	0
YAL044W-A	I	57518	57850	+	333	18
YAL044C	I	57950	58462	-	513	80
YAL043C	I	58695	61052	-	2358	56
YAL042C-A	I	61231	61608	-	378	0
YAL042W	I	61316	62563	+	1248	127
YAL041W	I	62840	65404	+	2565	81
YAL040C	I	65778	67520	-	1743	49
YAL039C	I	68716	69525	-	810	8
YAL038W	I	71786	73288	+	1503	5857
YAL037C-B	I	72326	73300	-	975	1
YAL037C-A	I	73426	73518	-	93	0
YAL037W	I	74020	74823	+	804	7
YAL036C	I	75043	76152	-	1110	64
YAL035W	I	76427	79435	+	3009	478
YAL034C-B	I	79489	79842	-	354	0
YAL034W-A	I	79718	80587	+	870	8
YAL034C	I	80710	81951	-	1242	9
YAL033W	I	82706	83227	+	522	12
YAL032C	I	83335	84474	-	1140	13
YAL031W-A	I	84669	84977	+	309	0
YAL031C	I	84749	87031	-	2283	25
YAL030W	I;I	87286;87501	87387;87752	+;+	354	25
YAL029C	I	87855	92270	-	4416	170
YAL028W	I	92900	94486	+	1587	7
YAL027W	I	94687	95472	+	786	4
YAL026C-A	I	95386	95823	-	438	2
YAL026C	I	95630	99697	-	4068	153
HRA1	I	99305	99868	+	564	0
YAL025C	I	100225	101145	-	921	31
YAL024C	I	101565	105872	-	4308	48
YAL023C	I	106272	108551	-	2280	342
YAL022C	I	108877	110430	-	1554	35
YAL021C	I	110846	113359	-	2514	117
YAL020C	I	113614	114615	-	1002	16
YAL019W-A	I	114250	114819	+	570	0
YAL019W	I	114919	118314	+	3396	99
YAL018C	I	118564	119541	-	978	0
YAL017W	I	120225	124295	+	4071	106
YAL016C-B	I	124307	124492	-	186	0
YAL016C-A	I	124755	125069	-	315	0
YAL016W	I	124879	126786	+	1908	132
YAL015C	I	126903	128102	-	1200	11
YAL014C	I	128252	129019	-	768	25
YAL013W	I	129270	130487	+	1218	11
YAL012W	I	130799	131983	+	1185	280
YAL011W	I	132199	134076	+	1878	14
YAL010C	I	134184	135665	-	1482	24
YAL009W	I	135854	136633	+	780	22
YAL008W	I	136914	137510	+	597	16
YAL007C	I	137698	138345	-	648	73
tP(UGG)A	I;I	139152;139219	139187;139254	+;+	72	1
YAL005C	I	139503	141431	-	1929	5743
YAL004W	I	140760	141407	+	648	0
YAL003W	I;I	142174;142620	142253;143160	+;+	621	808
snR18	I	142367	142468	+	102	1
YAL002W	I	143707	147531	+	3825	36
YAL001C	I;I	147594;151097	151006;151166	-;-	3483	54
YAR002W	I	152257	153876	+	1620	57
YAR002C-A	I	154065	154724	-	660	97
YAR003W	I	155005	156285	+	1281	21
YAR007C	I	156754	158619	-	1866	48
YAR008W	I	158966	159793	+	828	8
YAR009C	I	160597	164187	-	3591	16563
YAR010C	I	164544	165866	-	1323	6850
tA(UGC)A	I	166267	166339	+	73	0
YAR014C	I	166742	168871	-	2130	71
YAR015W	I	169375	170295	+	921	76
YAR018C	I	170396	171703	-	1308	15
YAR019C	I	172211	175135	-	2925	28
YAR019W-A	I	174998	175330	+	333	0
YAR020C	I	176856	177023	-	168	1
YAR023C	I	179281	179820	-	540	4
tL(CAA)A	I;I	181141;181211	181178;181254	+;+	82	0
tS(AGA)A	I	182522	182603	-	82	0
YAR027W	I	183770	184477	+	708	33
YAR028W	I	184892	185596	+	705	22
YAR029W	I	186321	186545	+	225	1
YAR030C	I	186512	186853	-	342	0
YAR031W	I	186836	187732	+	897	12
YAR033W	I	188107	188811	+	705	14
YAR035W	I	190193	192256	+	2064	4
YAR035C-A	I	192337	192417	-	81	0
YAR042W	I	192619	196185	+	3567	114
YAR047C	I	201467	201787	-	321	0
YAR050W	I	203403	208016	+	4614	5
YAR053W	I	208367	208663	+	297	1
YAR060C	I	217157	217492	-	336	2
YAR061W	I	218140	218343	+	204	0
YAR062W	I	218549	219145	+	597	0
YAR064W	I	220198	220497	+	300	0
YAR066W	I	221049	221660	+	612	6
YAR068W	I	222406	222891	+	486	13
YAR069C	I	224011	224304	-	294	1
YAR070C	I	224563	224862	-	300	1
