gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0003360,4342.832061548302,-3.126592254957647,0.1102482885182874,-28.359553667257376,6.381636121768094e-177,5.349087397266016e-173
FBgn0039155,730.5676725565944,-4.619900224562977,0.166044835116105,-27.8232094441996,2.272826925314069e-170,9.525417643991264e-167
FBgn0026562,43909.44438353136,-2.477764236172621,0.0892537743376442,-27.76089027674411,1.2874368249450837e-169,3.5970984888965644e-166
FBgn0025111,1501.447929574197,2.852106918969606,0.1045529767261707,27.27905993953105,7.5168682725829e-164,1.5751597465197466e-160
FBgn0029167,3706.024007854743,-2.1970329412977088,0.0973719558596989,-22.56330297466105,9.941561303484466e-113,1.6666033369161362e-109
FBgn0035085,638.219335651327,-2.583174619604378,0.128260571608435,-20.140052295186376,3.289886180233944e-90,4.59597099378682e-87
FBgn0039827,261.9111697594479,-4.1847368958022,0.2136837942942097,-19.58378224059641,2.126304991942184e-85,2.546098348922769e-82
FBgn0034736,225.87067160566048,-3.535018707459942,0.2019272225860902,-17.50639989094493,1.280400803581028e-68,1.341539941952022e-65
FBgn0000071,342.2464877254556,2.6214086538077024,0.1557711545582207,16.828588458769683,1.5065092198055106e-63,1.4030622533788656e-60
FBgn0029896,489.87724661905855,-2.442752948917152,0.146246497353185,-16.70298429792754,1.2467023981946386e-62,1.0449859501667461e-59
FBgn0038832,301.91136206877854,-2.493871845594176,0.1727881630803729,-14.433117414612152,3.2027164653068527e-47,2.440469946563822e-44
FBgn0034897,892.4851554734494,-1.933896986136004,0.1409473095143342,-13.720708772658966,7.631570436051376e-43,5.330651949581886e-40
FBgn0035189,215.65494817164108,2.8904494717953138,0.212811182883226,13.582225485684951,5.1051346499061893e-42,3.2916337411933604e-39
FBgn0040091,1106.5089512849445,-1.575477785190201,0.1171859428749159,-13.444255740399363,3.3273668987348956e-41,1.992142096085421e-38
FBgn0034434,114.62334444646191,-3.65096742866727,0.271818415149979,-13.431641217732825,3.9456873783398457e-41,2.2048501070163055e-38
FBgn0037754,269.747253760138,-2.259314213720923,0.171778258419855,-13.152503899525971,1.6463096825682855e-39,8.624604849554605e-37
FBgn0027279,2954.90726348927,-1.1826056089365948,0.0933986798351831,-12.661909258497989,9.613254865894926e-37,4.739900134466546e-34
FBgn0001226,1323.9094361999903,1.6657975001711491,0.1318886815371834,12.63032946236186,1.4367541941203172e-36,6.69048536395361e-34
FBgn0051092,153.068561614784,2.3165379218733584,0.1837242096613178,12.60877881115247,1.888972562816942e-36,8.333351590279794e-34
FBgn0261552,5128.615893570697,-1.868771996139065,0.148507552730363,-12.58368319847066,2.5963617892230688e-36,1.0881352258633882e-33
FBgn0003501,277.46080995299747,2.1323066460819686,0.1698937410871595,12.550825194837778,3.933889000845612e-36,1.570183695480377e-33
FBgn0040099,910.08257602036,-1.7477230509947257,0.1396733931949986,-12.51292755918604,6.344217386505116e-36,2.417146824258449e-33
FBgn0023479,3091.78196454293,-1.5321963271139043,0.1261207331080281,-12.148647485275143,5.832243044941695e-34,2.125472226204403e-31
FBgn0052407,187.05016791366103,-2.169663432613418,0.1800581925230978,-12.04979013845812,1.9444435601709562e-33,6.790969133897065e-31
FBgn0039419,1564.280995708343,-1.1669813812890573,0.0984620271239426,-11.852095832031535,2.098751643966137e-32,7.036694511889664e-30
